Age,Male,Female
1,673400,696100
2,633800,676400
3,614600,664600
4,605100,627500
5,598300,609600
6,589600,601000
7,574900,594800
8,560700,586400
9,547300,572100
10,534800,558300
11,522200,545300
12,508300,533000
13,491600,520500
14,471100,506600
15,447800,489600
16,424000,468900
17,400800,445700
18,378500,421700
19,357600,398500
20,338000,376100
21,318700,355100
22,299900,335500
23,283300,316200
24,269300,297500
25,257300,281000
26,246500,267000
27,236000,255000
28,225800,244200
29,215600,233800
30,205600,223600
31,196100,213400
32,187400,203300
33,178900,193800
34,170700,185100
35,162700,176600
36,155000,168400
37,147700,160400
38,141600,152600
39,136900,145400
40,133300,139300
41,130500,134600
42,127400,131000
43,122900,128100
44,116500,125000
45,108700,120600
46,100200,114200
47,92500,106500
48,86500,98100
49,82900,90400
50,80900,84500
51,79800,80800
52,78000,78700
53,74700,77600
54,68900,75900
55,61400,72600
56,53400,66900
57,46400,59600
58,41300,51700
59,39200,44800
60,39000,39900
61,39700,37700
62,39900,37400
63,39100,38000
64,36900,38000
65,33700,37100
66,30200,34900
67,27300,31700
68,25100,28300
69,24100,25400
70,23700,23300
71,23900,22100
72,23800,21600
73,22800,21600
74,20700,21200
75,17800,20200
76,16600,18100
77,14400,15400
78,12200,14100
79,10500,12000
