Age,Male,Female
0,685600,633900
1,639500,596400
2,618200,577500
3,608000,567900
4,600600,561000
5,591500,560200
6,576600,549100
7,562100,538700
8,548600,529300
9,535900,521000
10,523200,512900
11,509200,503600
12,492400,491500
13,472000,475500
14,448900,457000
15,425000,436900
16,401900,417800
17,379600,401400
18,358700,389000
19,339200,379500
20,319900,371100
21,301100,361500
22,284500,349400
23,270400,334000
24,258500,316100
25,247700,297700
26,237200,280400
27,227000,264700
28,216900,251200
29,206800,239500
30,197300,228500
31,188600,217600
32,180200,206900
33,172000,196500
34,164100,186500
35,156300,176700
36,149000,167500
37,142900,159500
38,138300,152900
39,134700,147300
40,131900,142600
41,128800,137900
42,124300,131900
43,117800,123800
44,109900,114500
45,101400,104400
46,93700,95400
47,87700,89500
48,84000,87700
49,82100,88700
50,81000,91400
51,79300,92900
52,75900,91100
53,70000,84300
54,62400,74200
55,54300,62800
56,47200,53100
57,42100,46600
58,39900,44800
59,39800,46400
60,40600,49300
61,40800,51100
62,40100,51100
63,37900,48200
64,34600,43400
65,31100,38000
66,28200,33500
67,26100,30700
68,25000,30300
69,24800,31500
70,25000,33600
71,25000,35100
72,24100,34600
73,22000,31100
74,19000,25800
75,17900,24200
76,15500,19800
77,13300,15500
78,11500,11900
79,10300,9400
85,104100,155800
