Age,Male,Female,Year
0,685600,633900,2014
1,639500,596400,2014
2,618200,577500,2014
3,608000,567900,2014
4,600600,561000,2014
5,591500,560200,2014
6,576600,549100,2014
7,562100,538700,2014
8,548600,529300,2014
9,535900,521000,2014
10,523200,512900,2014
11,509200,503600,2014
12,492400,491500,2014
13,472000,475500,2014
14,448900,457000,2014
15,425000,436900,2014
16,401900,417800,2014
17,379600,401400,2014
18,358700,389000,2014
19,339200,379500,2014
20,319900,371100,2014
21,301100,361500,2014
22,284500,349400,2014
23,270400,334000,2014
24,258500,316100,2014
25,247700,297700,2014
26,237200,280400,2014
27,227000,264700,2014
28,216900,251200,2014
29,206800,239500,2014
30,197300,228500,2014
31,188600,217600,2014
32,180200,206900,2014
33,172000,196500,2014
34,164100,186500,2014
35,156300,176700,2014
36,149000,167500,2014
37,142900,159500,2014
38,138300,152900,2014
39,134700,147300,2014
40,131900,142600,2014
41,128800,137900,2014
42,124300,131900,2014
43,117800,123800,2014
44,109900,114500,2014
45,101400,104400,2014
46,93700,95400,2014
47,87700,89500,2014
48,84000,87700,2014
49,82100,88700,2014
50,81000,91400,2014
51,79300,92900,2014
52,75900,91100,2014
53,70000,84300,2014
54,62400,74200,2014
55,54300,62800,2014
56,47200,53100,2014
57,42100,46600,2014
58,39900,44800,2014
59,39800,46400,2014
60,40600,49300,2014
61,40800,51100,2014
62,40100,51100,2014
63,37900,48200,2014
64,34600,43400,2014
65,31100,38000,2014
66,28200,33500,2014
67,26100,30700,2014
68,25000,30300,2014
69,24800,31500,2014
70,25000,33600,2014
71,25000,35100,2014
72,24100,34600,2014
73,22000,31100,2014
74,19000,25800,2014
75,17900,24200,2014
76,15500,19800,2014
77,13300,15500,2014
78,11500,11900,2014
79,10300,9400,2014
80+,104100,155800,2014
0,693400,675700,2015
1,673400,623200,2015
2,633800,590700,2015
3,614600,574000,2015
4,605100,565200,2015
5,598300,558900,2015
6,589600,558500,2015
7,574900,547600,2015
8,560700,537300,2015
9,547300,528200,2015
10,534800,520000,2015
11,522200,512000,2015
12,508300,502800,2015
13,491600,490600,2015
14,471100,474700,2015
15,447800,456000,2015
16,424000,436000,2015
17,400800,416900,2015
18,378500,400500,2015
19,357600,388100,2015
20,338000,378500,2015
21,318700,370100,2015
22,299900,360400,2015
23,283300,348300,2015
24,269300,332800,2015
25,257300,314900,2015
26,246500,296400,2015
27,236000,279200,2015
28,225800,263400,2015
29,215600,249900,2015
30,205600,238200,2015
31,196100,227300,2015
32,187400,216300,2015
33,178900,205700,2015
34,170700,195300,2015
35,162700,185100,2015
36,155000,175400,2015
37,147700,166200,2015
38,141600,158200,2015
39,136900,151600,2015
40,133300,146000,2015
41,130500,141400,2015
42,127400,136700,2015
43,122900,130700,2015
44,116500,122700,2015
45,108700,113500,2015
46,100200,103400,2015
47,92500,94500,2015
48,86500,88600,2015
49,82900,86800,2015
50,80900,87700,2015
51,79800,90400,2015
52,78000,91800,2015
53,74700,90000,2015
54,68900,83300,2015
